,image_link,group_id,entity_name,entity_value,textfromimg,processed text,new processed text
0,https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,"PROPOS' NATUREI INGRÉDIENT MÉNAGER MULTI-USAGE TERRE DE SOMMIèRES 100% NATUREL Argile 10096 pure etnaturelle terre Sommieres présente des proprietés absorbanles qu1 permettent nelloyage sec des laches récalcitrantes sur toutes les sur faces (mnoquette; tapis, parquel ) Elle est aussI eflicace désodoriser linge- Ingrédient Bentonite Dosage conseillé Sclon usagc. Stokag (Moavoseiea Chflr ci Ocinumlie Fovuon nvhor; enfonss 00% @500g Jhsolln LaboraTo REFROPOS'NATRE ZcUrasdFcnT . I3340ugcoue Jmideroy Taaivaelrag 'MAip'oors-njtufecon 78010] Pour {Dnr",propos naturei ingrédient ménager terre de sommières 100 naturel argile 10096 pure etnaturelle terre sommieres présente des proprietés absorbanles qu1 permettent nelloyage sec des laches récalcitrantes sur toutes les sur faces mnoquette tapis parquel elle est aussi eflicace désodoriser ingrédient bentonite dosage conseillé sclon usagc stokag moavoseiea chflr ci ocinumlie fovuon nvhor enfonss 00 500g jhsolln laborato zcurasdfcnt i3340ugcoue jmideroy taaivaelrag 78010 pour dnr,propos naturei ingrédient ménager terre de sommières 100 naturel argile 10096 pure etnaturelle terre sommieres présente des proprietés absorbanles qu1 permettent nelloyage sec des laches récalcitrantes sur toutes les sur faces mnoquette tapis parquel elle est aussi eflicace désodoriser ingrédient bentonite dosage conseillé sclon usagc stokag moavoseiea chflr ci ocinumlie fovuon nvhor enfonss 00 500g jhsolln laborato zcurasdfcnt i3340ugcoue jmideroy taaivaelrag 78010 pour dnr
1,https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,<ss ( € ess< RRIFIC! LEBENSMITTELECHT Cur DAY GEPRäGTES DESIGN As YoU LpKE BEST Designed in V Cake Y [Selin] LIZENZIERTE UND GESCHUTZTE DESIGNS TEA WIth ccceica,ss ess rrific lebensmittelecht cur day geprägtes design lpke best designed v cake selin lizenzierte und geschutzte designs tea ccceica,ss ess rrific lebensmittelecht cur day geprägtes design lpke best designed volt cake selin lizenzierte und geschutzte designs tea ccceica
2,https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"COMPOSITION Serving Size: Tablet (0.709 g) Each serving contains (Approx: Values): Ingredient Oty / Serving % RDA"" *PHOSPHOcomplex? Silybin (Sillybum marianum) 200 mg Dandelion (Taraxacum officinale) leaf extract 10.1 100 mg Kutki (Picrorhiza kurroa)rhizome extract 0.5% Bitters 50 mg Kasani (Cichorium intybus) seed extract ~ 1% Bitters 25 mg Punarnava (Boerhavia diffusa) root extract 0.07% alkaloids 25 mg #* Bhui amla (Phyllanthus amarus) WP extract - 0.5% Bitters 25 mg Amla (Phyllanthus emblica) fruit extract  10% Tannins 25 mg Licorice (Glycyrrhiza glabra) root extract 5% Glycyrrhizin 25 mg Vitamin E 10 mg 100 Piper nigrum fruit extract 95% Piperine 5 mg NUTRITIONAL INFORMATION PER SERVING (APPROX. VALUES): Nutrients Oty / Serving %RDA"" Energy 3.04 kcal 0.13 Carbohydrate 0.51 g (Sugars) 0.29 Protein 0.04 9 0.07 Fat 0.09 g ""PRDA values established as per ICMR 2010 for sedentary lifestyle-Men **% RDA not established by ICMR",composition serving size tablet g serving contains approx values ingredient oty serving rda silybin sillybum marianum 200 mg dandelion taraxacum officinale leaf extract 100 mg kutki picrorhiza kurroa rhizome extract bitters 50 mg kasani cichorium intybus seed extract 1 bitters 25 mg punarnava boerhavia diffusa root extract alkaloids 25 mg bhui amla phyllanthus amarus wp extract bitters 25 mg amla phyllanthus emblica fruit extract 10 tannins 25 mg licorice glycyrrhiza glabra root extract 5 glycyrrhizin 25 mg vitamin e 10 mg 100 piper nigrum fruit extract 95 piperine 5 mg nutritional information per serving approx values nutrients oty serving rda energy kcal carbohydrate g sugars protein 9 fat g prda values established per icmr 2010 sedentary rda established icmr,composition serving size tablet gram serving contains approx values ingredient oty serving rda silybin sillybum marianum 200 milligram dandelion taraxacum officinale leaf extract 100 mg kutki picrorhiza kurroa rhizome extract bitters 50 mg kasani cichorium intybus seed extract 1 bitters 25 mg punarnava boerhavia diffusa root extract alkaloids 25 mg bhui amla phyllanthus amarus wp extract bitters 25 mg amla phyllanthus emblica fruit extract 10 tannins 25 mg licorice glycyrrhiza glabra root extract 5 glycyrrhizin 25 mg vitamin e 10 mg 100 piper nigrum fruit extract 95 piperine 5 mg nutritional information per serving approx values nutrients oty serving rda energy kcal carbohydrate g sugars protein 9 fat g prda values established per icmr 2010 sedentary rda established icmr
3,https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,"2 5 1 1 J{ 858858{e 1 59š8 1 5 1 1 1 1 H "" [ 1 IHH 9 1 1i 4 1 Hy IH # | H 7i4 1 U 1 li HwH H 0š H Hh 8h} HHH ; Ii | Iu | # 1 | 1 1 K 1 3 1 1",2 5 1 1 j 858858 e 1 59š8 1 5 1 1 1 1 h 1 ihh 9 1 1i 4 1 hy ih h 7i4 1 u 1 li hwh h 0š h hh 8h hhh ii iu 1 1 1 k 1 3 1 1,2 5 1 1 j 858858 e 1 59š8 1 5 1 1 1 1 h 1 ihh 9 1 1i 4 1 hy ih h 7i4 1 u 1 li hwh h 0š h hh 8h hhh ii iu 1 1 1 k 1 3 1 1
4,https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,Horbäach' HIG H S TR E NGTh PSYLLIUM HUSK PLANTAGO OVATA 140OMG PLANT SEEDS FOoD VEGAN SUPPLEMENT 365 CAPSULES,horbäach hig h tr e ngth psyllium husk plantago ovata 140omg plant seeds food vegan supplement 365 capsules,horbäach hig h tr e ngth psyllium husk plantago ovata 140omg plant seeds food vegan supplement 365 capsules
5,https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,Naturally-Sourced Psyllium High strength 14OOmg per serving Suitable for Vegans & Vegetarians Horbaach Horbäach hiGh STR E NGTh PSYLLIUM HUSK 140OMG PLANTAGO  OVATA PLANT SEEDS FOOD SUPPLEMENT 365 VEGAN CAPSULES,psyllium high strength 14oomg per serving suitable vegans vegetarians horbaach horbäach high str e ngth psyllium husk 140omg plantago ovata plant seeds food supplement 365 vegan capsules,psyllium high strength 14oomg per serving suitable vegans vegetarians horbaach horbäach high str e ngth psyllium husk 140omg plantago ovata plant seeds food supplement 365 vegan capsules
6,https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"Horbäach Directions:   For   adults; take two (2) vegan  capsules daily; preferably with a meal. Do not exceed stated dose. Nutrition Information HIG H S TR E NGTH Typically Per Daily Dose Psyllium Husk Powder 140Omg PSYLLIUM ' Ingredients: Psyllium Husk Powder , Capsule Shell (Hy- droxypropylmethylcellulose) , Anti-Caking Agents (Mag- nesium Salts of Fatty Acids;, Silicon Dioxide) . May contain Sesame Seeds & Mustard. For allergens; HUSK see the ingredients in bold. Notice: Take this product with 220ml of fluids. Taking this product without adequate fluid cause the pos - PLANTAGO OVATA sibility of choking. Do not use this product if you have 140OMG difficulty swallowing. Ifyou experience chest pain; vom- PLANT SEEDS iting or difficulty in swallowing or breathing after taking this product, seek immediate medical attention. Do not take before sleeping. Fibre products can affect the ab- sorption of many medications. Do not take this product within 1.5 hours of taking medication. Free From: Artificial Colour , Artificial Flavour , Artificial Sweetener , Preservatives. FOOD VEGAN SUPPLEMENT 365 CAPSULES SUITABLE FOR VEGETARIANS & VEGANS HU16790 € Horbäach may",horbäach directions adults take two 2 vegan capsules daily preferably meal exceed stated dose nutrition information hig h tr e ngth typically per daily dose psyllium husk powder 140omg psyllium ingredients psyllium husk powder capsule shell droxypropylmethylcellulose agents nesium salts fatty acids silicon dioxide may contain sesame seeds mustard allergens husk see ingredients bold notice take product 220ml fluids taking product without adequate fluid cause pos plantago ovata sibility choking use product 140omg difficulty swallowing ifyou experience chest pain plant seeds iting difficulty swallowing breathing taking product seek immediate medical attention take sleeping fibre products affect sorption many medications take product within hours taking medication free artificial colour artificial flavour artificial sweetener preservatives food vegan supplement 365 capsules suitable vegetarians vegans hu16790 horbäach may,horbäach directions adults take two 2 vegan capsules daily preferably meal exceed stated dose nutrition information hig h tr e ngth typically per daily dose psyllium husk powder 140omg psyllium ingredients psyllium husk powder capsule shell droxypropylmethylcellulose agents nesium salts fatty acids silicon dioxide may contain sesame seeds mustard allergens husk see ingredients bold notice take product 220ml fluids taking product without adequate fluid cause pos plantago ovata sibility choking use product 140omg difficulty swallowing ifyou experience chest pain plant seeds iting difficulty swallowing breathing taking product seek immediate medical attention take sleeping fibre products affect sorption many medications take product within hours taking medication free artificial colour artificial flavour artificial sweetener preservatives food vegan supplement 365 capsules suitable vegetarians vegans hu16790 horbäach may
7,https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,VEGAN WHEAT FREE SOY FREE OVATA DAIRY FREE FREE FROM PRESERVATIVES Horbäach Horbäach' STR E NGTh High PSYLLIUM HUSK PLANTAGO  SEEDS PLANT 140OMG VEGAN 365 CAPSULES FOOD SUPPLEMENT,vegan wheat free soy free ovata dairy free free preservatives horbäach horbäach str e ngth high psyllium husk plantago seeds plant 140omg vegan 365 capsules food supplement,vegan wheat free soy free ovata dairy free free preservatives horbäach horbäach str e ngth high psyllium husk plantago seeds plant 140omg vegan 365 capsules food supplement
8,https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,Horbäach Y 100% HIGHEST QUALITY To HIG H GMP 2 HUSK OVATA 140OMg SEEDS 365 Horbäach Horbäach' GMP ( STR E NGTh PSYLLIUM AAUFACTURE) IN 4 { PLANTAGO 5 KNUFACTUS? PLANT # IN ~ VEGAN CAPSULES FOOD SUPPLEMENT,horbäach 100 highest quality hig h gmp 2 husk ovata 140omg seeds 365 horbäach horbäach gmp str e ngth psyllium aaufacture 4 plantago 5 knufactus plant vegan capsules food supplement,horbäach 100 highest quality hig h gmp 2 husk ovata 140omg seeds 365 horbäach horbäach gmp str e ngth psyllium aaufacture 4 plantago 5 knufactus plant vegan capsules food supplement
9,https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,NEW LOOK: SAMETRUSTED QUALITY OLD Horbäach NEW Horbäach' HIGH STRENGTH PSYLLIUM High STR E NGTh HUSK PSYLLIUM I4OOMG serving HUSK PLANTAGO OVATA 140OMG PLANT SEEDS FOOD VEGAN SUPPLEMENT 365 CAPSULES FOOD VEGAN SUPPLEMENT 365 CAPSULES PACKAGING MAY VARY Horbäach,new look sametrusted quality old horbäach new horbäach high strength psyllium high str e ngth husk psyllium i4oomg serving husk plantago ovata 140omg plant seeds food vegan supplement 365 capsules food vegan supplement 365 capsules packaging may vary horbäach,new look sametrusted quality old horbäach new horbäach high strength psyllium high str e ngth husk psyllium i4oomg serving husk plantago ovata 140omg plant seeds food vegan supplement 365 capsules food vegan supplement 365 capsules packaging may vary horbäach
